지역,면적,가격,층,거래
부산광역시 강서구 명지동,135.8022,"93,000",20,중개거래
부산광역시 강서구 명지동,135.3039,"86,500",6,중개거래
부산광역시 강서구 명지동,244.81,"111,000",3,중개거래
부산광역시 강서구 명지동,179.97,"89,400",5,중개거래
부산광역시 강서구 명지동,179.97,"89,400",5,중개거래
부산광역시 금정구 구서동,133.16,"32,000",2,중개거래
부산광역시 금정구 남산동,140.57,"46,000",9,중개거래
부산광역시 금정구 장전동,130.5613,"54,000",1,중개거래
부산광역시 금정구 장전동,132.86,"68,000",2,중개거래
부산광역시 금정구 장전동,127.62,"73,500",5,중개거래
부산광역시 금정구 장전동,127.62,"84,000",17,중개거래
부산광역시 기장군 정관읍 용수리,126.2039,"50,500",11,중개거래
부산광역시 남구 대연동,151.02,"24,000",1,직거래
부산광역시 남구 대연동,121.97,"105,000",17,중개거래
부산광역시 남구 용호동,130.1762,"94,000",2,중개거래
부산광역시 남구 용호동,130.1762,"98,500",11,중개거래
부산광역시 남구 용호동,130.1762,"100,000",14,중개거래
부산광역시 남구 용호동,144.181,"220,000",56,직거래
부산광역시 남구 용호동,144.48,"70,000",9,중개거래
부산광역시 남구 용호동,125.4,"64,000",24,중개거래
부산광역시 남구 용호동,164.76,"50,000",4,직거래
부산광역시 남구 용호동,126.638,"72,000",6,중개거래
부산광역시 남구 용호동,126.638,"69,500",8,중개거래
부산광역시 남구 용호동,174.107,"81,000",5,중개거래
부산광역시 동래구 명륜동,132.8721,"83,500",13,중개거래
부산광역시 동래구 명륜동,131.7788,"91,000",16,중개거래
부산광역시 동래구 사직동,120.427,"57,000",16,중개거래
부산광역시 동래구 사직동,134.314,"68,000",2,중개거래
부산광역시 동래구 안락동,134.82,"34,000",15,중개거래
부산광역시 동래구 온천동,128.263,"64,500",4,중개거래
부산광역시 동래구 온천동,136.896,"63,000",27,중개거래
부산광역시 동래구 온천동,124.97,"30,000",13,중개거래
부산광역시 부산진구 부전동,126.268,"61,200",32,중개거래
부산광역시 북구 화명동,158.58,"56,000",9,중개거래
부산광역시 북구 화명동,131.07,"62,000",17,중개거래
부산광역시 북구 화명동,134.504,"40,000",17,중개거래
부산광역시 북구 화명동,145.65,"79,500",13,중개거래
부산광역시 북구 화명동,145.49,"89,800",25,중개거래
부산광역시 북구 화명동,171.77,"105,000",20,중개거래
부산광역시 북구 화명동,131.78,"75,000",10,중개거래
부산광역시 사상구 엄궁동,126.2789,"52,300",10,중개거래
부산광역시 사상구 주례동,125.16,"40,000",20,중개거래
부산광역시 사하구 다대동,183.5443,"50,000",6,중개거래
부산광역시 사하구 다대동,185.23,"61,000",23,중개거래
부산광역시 사하구 다대동,121.65,"32,500",4,중개거래
부산광역시 사하구 다대동,134.96,"48,000",5,중개거래
부산광역시 사하구 당리동,156.2469,"37,000",17,중개거래
부산광역시 사하구 신평동,156.8,"20,400",15,직거래
부산광역시 사하구 신평동,136.65,"20,900",11,중개거래
부산광역시 사하구 장림동,122.64,"10,000",11,직거래
부산광역시 사하구 장림동,132.54,"23,700",13,중개거래
부산광역시 서구 서대신동3가,126.58,"51,000",18,중개거래
부산광역시 서구 암남동,142.64,"60,000",10,중개거래
부산광역시 서구 암남동,132.635,"17,500",2,중개거래
부산광역시 서구 암남동,138.867,"105,500",10,중개거래
부산광역시 수영구 광안동,136.58,"38,000",1,중개거래
부산광역시 수영구 남천동,131.27,"149,000",12,중개거래
부산광역시 수영구 남천동,131.27,"162,000",5,중개거래
부산광역시 수영구 남천동,131.27,"155,000",6,중개거래
부산광역시 수영구 남천동,170.8,"135,000",9,중개거래
부산광역시 수영구 남천동,125.5,"93,000",9,중개거래
부산광역시 수영구 민락동,128.6082,"103,000",15,직거래
부산광역시 연제구 거제동,141.2661,"79,200",5,중개거래
부산광역시 연제구 거제동,157.8562,"90,000",11,중개거래
부산광역시 연제구 거제동,146.1027,"55,000",7,중개거래
부산광역시 연제구 연산동,121.6761,"68,000",13,중개거래
부산광역시 연제구 연산동,148.14,"29,000",6,중개거래
부산광역시 영도구 청학동,127.21,"30,000",9,중개거래
부산광역시 해운대구 반여동,126.93,"47,000",7,중개거래
부산광역시 해운대구 반여동,142.6556,"42,000",21,직거래
부산광역시 해운대구 우동,145.12,"85,000",10,중개거래
부산광역시 해운대구 우동,202.68,"150,000",9,직거래
부산광역시 해운대구 우동,163.945,"169,000",6,중개거래
부산광역시 해운대구 우동,127.6584,"191,000",51,중개거래
부산광역시 해운대구 우동,159.5413,"325,000",65,중개거래
부산광역시 해운대구 우동,168.8988,"252,000",43,중개거래
부산광역시 해운대구 우동,147.69,"110,000",19,직거래
부산광역시 해운대구 재송동,151.9156,"185,000",17,중개거래
부산광역시 해운대구 재송동,126.9004,"153,290",50,직거래
부산광역시 해운대구 재송동,127.489,"99,000",3,중개거래
부산광역시 해운대구 재송동,127.489,"118,000",19,중개거래
부산광역시 해운대구 좌동,134.64,"65,000",14,중개거래
부산광역시 해운대구 좌동,134.97,"64,000",6,중개거래
부산광역시 해운대구 좌동,128.16,"128,000",16,중개거래
부산광역시 해운대구 중동,162.78,"37,500",4,직거래
부산광역시 해운대구 중동,162.78,"33,000",1,직거래
부산광역시 해운대구 중동,125.1959,"98,000",28,중개거래
