소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
053-357-2739,대구광역시 북구 고성동3가 1-5,대구광역시 북구 옥산로 120 (고성동3가),,푸른동물병원,343400.892733763,265933.808938488
581-2301,충청남도 천안시 서북구 성환읍 성환리 449-118,충청남도 천안시 서북구 성환읍 성환1로 235,,충일,211324.282324629,379358.716114903
02-2060-0999,서울특별시 양천구 신정동 202-13 쌍용빌딩 4층,"서울특별시 양천구 목동남로2길 21, 쌍용빌딩 4층 (신정동)",08104,캐슬동물종합병원,187953.860177712,445073.76201045
,충청남도 보령시 대천동 434-6,충청남도 보령시 중앙로 105 (대천동),33455,김동물병원,163347.904352883,316822.662536328
033-257-7533,강원특별자치도 춘천시 석사동 431-5,"강원특별자치도 춘천시 공지로 159, 1층 (석사동)",24387,미래종합동물병원,265448.34244046,484406.584828884
751-6960,경상북도 경주시 산내면 의곡리 113-27번지,경상북도 경주시 산내면 의곡2길 17-1,38186,의곡동물병원,385087.927606134,252675.767522812
033-553-4000,강원특별자치도 태백시 황지동 215-24 태백축협,"강원특별자치도 태백시 고원로 49, 태백축협 2층 (황지동)",26023,동해삼척태백축협 상장지점 동물병원,376533.762647318,408269.920842453
681-3568,강원특별자치도 고성군 간성읍 교동리 58-13,강원특별자치도 고성군 간성읍 건봉사로 6-72,24726,고성축협 동물병원,326275.754264088,543652.147292707
061-473-0880,전라남도 영암군 영암읍 역리 151-1번지,,,영암축협가축진료센터,172475.899830426,144974.773071059
292-3797,경기도 수원시 권선구 고색동 382-3,경기도 수원시 권선구 매송고색로 696-6 (고색동),16650,정우동물병원,198207.510915401,416498.697701638
031-213-3050,경기도 수원시 영통구 매탄동 111-138,경기도 수원시 영통구 산남로90번길 23 (매탄동),16526,오동물병원,204435.911207908,418751.351357006
055-335-8800,,"경상남도 김해시 호계로 483, 2.3층 (동상동)",50921,24시 드림종합동물병원,371456.847396168,194342.592636834
054-244-2200,경상북도 포항시 남구 이동 52,경상북도 포항시 남구 포스코대로 78 (이동),37659,최지승 동물병원,410348.790880579,283093.980148206
